domain,name,portrait_url,affiliation,id,label,gender,citations,h-index,co_author
social science,Pierre Bourdieu,https://scholar.google.co.uk/citations?view_op=medium_photo&user=d_lp40IAAAAJ&citpid=2,"Sociology, Centre de Sociologie Europenne, Collge de France",d_lp40IAAAAJ,['sociology'],male,633795,258,
social science,Sigmund Freud,https://scholar.google.co.uk/citations?view_op=medium_photo&user=N80kIiYAAAAJ&citpid=2,University of Vienna,N80kIiYAAAAJ,"['Neurology', 'Psychology', 'Psychopathology']",male,535411,272,
social science,Karl Marx,https://scholar.google.co.uk/citations?view_op=medium_photo&user=I6dIhHQAAAAJ&citpid=5,"Universities of Bonn, Berlin, and Jena",I6dIhHQAAAAJ,"['Economics', 'History', 'Marxism', 'Philosophy', 'Sociology']",male,300439,166,
social science,Max Weber,https://scholar.google.co.uk/citations?view_op=medium_photo&user=fT8j_PUAAAAJ&citpid=2,"Sociology, Universities of Berlin, Freiburg, Heidelberg, Vienna, Munich",fT8j_PUAAAAJ,"['sociology', 'economics', 'history', 'law', 'politics']",male,270433,130,
social science,Erving Goffman,https://scholar.google.co.uk/citations?view_op=medium_photo&user=rahhbn0AAAAJ&citpid=3,"Sociology, University of Pensylvannia",rahhbn0AAAAJ,"['sociology', 'symbolic interaction']",male,256799,89,
social science,Donald B Rubin,https://scholar.google.co.uk/citations?view_op=medium_photo&user=5q4fhUoAAAAJ&citpid=2,"John L. Loeb Professor of Statistics, Harvard University",5q4fhUoAAAAJ,"['Statistics', 'Economics', 'Psychology', 'Biostatistics', 'Epidemiology']",male,247949,122,
social science,Edward L. Deci,https://scholar.google.co.uk/citations?view_op=medium_photo&user=vj9FOZcAAAAJ&citpid=2,"Australian Catholic University, Sydney; University of Rochester; Univ College of Southeast",vj9FOZcAAAAJ," ['self-determination theory', 'motivation', 'psychology']""",male,243921,135,
social science,Gary Becker,https://scholar.google.co.uk/citations?view_op=medium_photo&user=nRWVCBQAAAAJ&citpid=2,University of Chicago,nRWVCBQAAAAJ,"['Economics', 'Sociology']",male,235964,95,
social science,Joseph A Schumpeter,https://scholar.google.co.uk/citations?view_op=medium_photo&user=eiol1dkAAAAJ&citpid=2,Harvard University,eiol1dkAAAAJ,['Economics'],male,191752,84,
social science,Clifford Geertz,https://scholar.google.co.uk/citations?view_op=medium_photo&user=V4PPW_cAAAAJ&citpid=2,"Anthropology, Princeton University",V4PPW_cAAAAJ,"['anthropology', 'symbolic anthropology']",male,187586,102,
social science,Alan Baddeley,https://scholar.google.co.uk/citations?view_op=medium_photo&user=U-hM7mAAAAAJ&citpid=2,Professor of Psychology University of York,U-hM7mAAAAAJ,"['Psychology', 'Cognitive Psychology', 'Memory', 'Working memory']",male,176672,151,
social science,Robert Merton,https://scholar.google.co.uk/citations?view_op=medium_photo&user=FizCgdoAAAAJ&citpid=2,"Sociology, Columbia University",FizCgdoAAAAJ,"['sociology', 'anomie', 'criminology']",male,170620,119,
social science,George Lakoff,https://scholar.google.co.uk/citations?view_op=medium_photo&user=KEU0vpcAAAAJ&citpid=4,"Professor of Linguistics, University of California, Berkeley",KEU0vpcAAAAJ,"['Linguistics', 'Cognitive Science', 'Politics', 'Law', 'Psychology']",male,167126,97,
social science,Theodor Adorno,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ODdjS34AAAAJ&citpid=2,"Sociology, Frankfurt School",ODdjS34AAAAJ,['sociology'],male,159430,145,
social science,Milton Friedman,https://scholar.google.co.uk/citations?view_op=medium_photo&user=DV6pTH0AAAAJ&citpid=2,University of Chicago,DV6pTH0AAAAJ,['Economics'],male,158011,108,
social science,?mile Durkheim,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZCgFBIMAAAAJ&citpid=2,"Sociology, Universit de Bordeaux, La Sorbonne",ZCgFBIMAAAAJ,"['sociology', 'philosophy', 'anthropology', 'religion']",male,146773,90,
social science,Talcott Parsons,https://scholar.google.co.uk/citations?view_op=medium_photo&user=rWPcKqkAAAAJ&citpid=2,"Sociology, Harvard University",rWPcKqkAAAAJ,['sociology'],male,137836,117,
social science,James S. Coleman,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ROl-Dh0AAAAJ&citpid=2,"Sociology, University of Chicago",ROl-Dh0AAAAJ,"['sociology', 'education']",male,136868,75,
social science,John von Neumann,https://scholar.google.co.uk/citations?view_op=medium_photo&user=6kEXBa0AAAAJ&citpid=2,"Professor of Mathematics, Princeton University",6kEXBa0AAAAJ,"['Quantum mechanics', 'Economics', 'Game theory', 'Computer science']",male,122564,93,
social science,Jean Tirole,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZEDUm5UAAAAJ&citpid=3,"Professor of Economics, Toulouse School of Economics",ZEDUm5UAAAAJ,"['Industrial Organization', 'Finance', 'Psychology', 'Macroeconomics']",male,121914,128,
social science,Paul A Samuelson,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ZglAOxkAAAAJ&citpid=3,Massachusetts Institute of Technology,ZglAOxkAAAAJ,['Economics'],male,118433,114,
social science,Alejandro Portes,https://scholar.google.co.uk/citations?view_op=medium_photo&user=P7ocv9gAAAAJ&citpid=3,"Sociology, Princeton University",P7ocv9gAAAAJ,"['Sociology', 'immigration', 'development', 'migration', 'social capital']",male,116406,116,
social science,Beno?t B. Mandelbrot,https://scholar.google.co.uk/citations?view_op=medium_photo&user=vZA2pjwAAAAJ&citpid=2,"Mathematics, IBM/Yale University",vZA2pjwAAAAJ,"['mathematics', 'fractals', 'economics', 'information theory', 'fluid dynamics']",male,113428,92,
social science,John Stuart Mill,https://scholar.google.co.uk/citations?view_op=medium_photo&user=1hKAITgAAAAJ&citpid=2,"Foreign Honorary Memebr of American Academy, Lord Rector of the University of St",1hKAITgAAAAJ,['Economics'],male,111776,89,
social science,Friedrich Hayek,https://scholar.google.co.uk/citations?view_op=medium_photo&user=ln3SfRcAAAAJ&citpid=9,"LSE (1931-1950), University of Chicago (1950-62)",ln3SfRcAAAAJ,['Economics'],male,110721,109,
social science,Dani Rodrik,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Rm5HunIAAAAJ&citpid=3,Harvard University,Rm5HunIAAAAJ,"['Economics', 'social science']",male,104849,129,
social science,Sheldon Cohen,https://scholar.google.co.uk/citations?view_op=medium_photo&user=8xLwgYQAAAAJ&citpid=13,"Robert E. Doherty University Professor of Psychology, Carnegie Mellon",8xLwgYQAAAAJ,"['psychology', 'social psychology', 'psychoneuroimmunology', 'health psychology', 'social support']",male,103935,112,
social science,Sidney G. Winter,https://scholar.google.co.uk/citations?view_op=medium_photo&user=Fo5LOA8AAAAJ&citpid=2,"Profesor of Management, Emeritus, The Wharton School, U. of Pennsylvania",Fo5LOA8AAAAJ,"['economics', 'organizations', 'innovation', 'evolutionary theory']",male,100597,71,
social science,C. Wright Mills,https://scholar.google.co.uk/citations?view_op=medium_photo&user=dqBi45AAAAAJ&citpid=2,Columbia University,dqBi45AAAAAJ,"['Sociology', 'sociological theory', 'social theory', 'political sociology', 'social psychology']",male,99898,66,
social science,Ronald Harry Coase,https://scholar.google.co.uk/citations?view_op=medium_photo&user=pOCX2hcAAAAJ&citpid=2,University of Chicago,pOCX2hcAAAAJ,"['Law and Economics', 'Economics', 'Law', 'Property Rights', 'Transaction costs']",male,99778,58,
social science,Ronald Inglehart,https://scholar.google.co.uk/citations?view_op=medium_photo&user=r3vC6IAAAAAJ&citpid=1,"professor of political science, university of Michigan",r3vC6IAAAAAJ,"['political science', 'sociology', 'modernization', 'secularization', 'democratization']",male,97758,102,
social science,Stanislas Dehaene,https://scholar.google.co.uk/citations?view_op=medium_photo&user=2Dd5uoIAAAAJ&citpid=2,"Professor of Experimental Cognitive Psychology, Collge de France",2Dd5uoIAAAAJ,"['Psychology', 'Cognitive Neuroscience']",male,94299,149,
social science,Daniel C. Dennett,https://scholar.google.co.uk/citations?view_op=medium_photo&user=3FWe5OQAAAAJ&citpid=2,"Co-Director, Center for Cognitive Studies, Professor, Philosophy Dept, Tufts University",3FWe5OQAAAAJ,"['psychology', 'evolution', 'artificial intelligence', 'philosophy']",male,93768,92,
social science,Colin Camerer,https://scholar.google.co.uk/citations?view_op=medium_photo&user=8udO65kAAAAJ&citpid=2,Robert Kirby professor of behavioral economics,8udO65kAAAAJ,"['economics', 'game theory', 'neuroscience']",male,93417,112,
social science,Alice Eagly,https://scholar.google.co.uk/citations?view_op=medium_photo&user=PJTruD8AAAAJ&citpid=2,"Professor of Psychology, James Padilla Chair of Arts & Sciences, Northwestern University",PJTruD8AAAAJ,"['psychology', 'social psychology', 'gender', 'attitudes', 'leadership']",female,88244,99,
social science,George Loewenstein,https://scholar.google.co.uk/citations?view_op=medium_photo&user=8nyQzDsAAAAJ&citpid=2,"Professor, Carnegie Mellon University",8nyQzDsAAAAJ,"['Economics', 'Psychology', 'Behavioral Economics']",male,87952,125,
social science,Douglas S. Massey,https://scholar.google.co.uk/citations?view_op=medium_photo&user=T758DcgAAAAJ&citpid=2,"Professor of Sociology and Public Affairs, Princeton University",T758DcgAAAAJ,"['Sociology', 'Demography']",male,86879,125,
social science,C. Arden Pope,https://scholar.google.co.uk/citations?view_op=medium_photo&user=AbQ7PhEAAAAJ&citpid=2,Brigham Young University,AbQ7PhEAAAAJ,"['economics', 'environmental health', 'environmental economics', 'environmental science', 'air pollution']",male,82782,74,
social science,Allan Collins,https://scholar.google.co.uk/citations?view_op=medium_photo&user=q6Kzly0AAAAJ&citpid=2,"Professor Emeritus of Learning Sciences, Northwestern University",q6Kzly0AAAAJ,"['Education', 'Psychology', 'Artificial Intelligence']",male,82774,66,
social science,Duncan J Watts,https://scholar.google.co.uk/citations?view_op=medium_photo&user=LhOAiXMAAAAJ&citpid=2,"Principal Researcher, Microsoft",LhOAiXMAAAAJ,"['Computational Social Science', 'Network Science', 'Sociology', 'Complex Systems']",male,82319,49,
social science,David Audretsch,https://scholar.google.co.uk/citations?view_op=medium_photo&user=f-lbbOoAAAAJ&citpid=2,"Institute for Development Strategies, Indiana University",f-lbbOoAAAAJ,"['economics', 'innovation', 'entrepreneurship']",male,80434,119,
